id,country_id,season,stage,date,hometeam_id,awayteam_id,home_goal,away_goal
8799,7809,2011/2012,17,2011/12/17,8178,8165,0,3
8800,7809,2011/2012,17,2011/12/16,9823,8722,3,0
8801,7809,2011/2012,17,2011/12/17,10189,8697,5,0
8802,7809,2011/2012,17,2011/12/17,9790,8406,1,1
8803,7809,2011/2012,17,2011/12/17,8358,9789,1,4
8804,7809,2011/2012,17,2011/12/18,8350,9904,1,1
8805,7809,2011/2012,17,2011/12/17,8226,8177,1,1
8806,7809,2011/2012,17,2011/12/17,8721,10269,1,0
8807,7809,2011/2012,17,2011/12/18,9788,9905,1,0
8808,7809,2011/2012,18,2012/1/22,8178,9905,3,2
8809,7809,2011/2012,18,2012/1/21,10189,10269,3,1
8810,7809,2011/2012,18,2012/1/22,9790,9789,1,5
8811,7809,2011/2012,18,2012/1/21,8165,8177,2,0
8812,7809,2011/2012,18,2012/1/21,8358,8406,1,0
8813,7809,2011/2012,18,2012/1/21,8350,8697,0,0
8814,7809,2011/2012,18,2012/1/21,8226,9904,0,0
8815,7809,2011/2012,18,2012/1/21,8721,8722,1,0
8816,7809,2011/2012,18,2012/1/20,9788,9823,3,1
8817,7809,2011/2012,19,2012/1/28,9789,8226,3,1
8818,7809,2011/2012,19,2012/1/28,9823,8721,2,0
8819,7809,2011/2012,19,2012/1/28,8697,8178,1,1
8820,7809,2011/2012,19,2012/1/27,9904,8165,1,0
8821,7809,2011/2012,19,2012/1/29,9905,8358,3,1
8822,7809,2011/2012,19,2012/1/29,10269,9788,0,3
8823,7809,2011/2012,19,2012/1/28,8722,10189,1,4
8824,7809,2011/2012,19,2012/1/28,8406,8350,2,2
8825,7809,2011/2012,19,2012/1/28,8177,9790,1,2
8826,7809,2011/2012,2,2011/8/14,8178,8697,1,0
